name,vary_name,type,ve_est_mean,ve_est_sd,n_study_mean,pvac,pflu,ve,pnonflu,sympt,clin,test_clin,test_nonclin,sens_vac,spec_vac,sens_flu,spec_flu,prop,nsam
children,ve--all-med,surv,0.21082181526820595,0.10334774557385817,2388.334,0.1,0.15,0.5,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pnonflu--adults-high,surv,0.25017366381265066,0.12123446336037154,1298.184,0.1,0.15,0.6,0.1,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pnonflu--all-low,surv,0.24152866618461533,0.12431630296313831,1304.982,0.1,0.15,0.6,0.1,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pnonflu--elderly-high,surv,0.2448112586933386,0.10907705688755719,1300.246,0.1,0.15,0.6,0.1,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pnonflu--all-med,surv,0.24873252565649426,0.11055177503288892,1573.514,0.1,0.15,0.6,0.15,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,sympt--adults-high,surv,0.24689759485116103,0.2842189592013833,283.454,0.1,0.15,0.6,0.3,0.1,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,sympt--all-low,surv,0.23708188723865936,0.27807008074187056,284.13,0.1,0.15,0.6,0.3,0.1,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,sympt--elderly-high,surv,0.23120341205544703,0.29118955509423894,283.968,0.1,0.15,0.6,0.3,0.1,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,sympt--all-med,surv,0.256810939883783,0.13251215372468214,1418.7,0.1,0.15,0.6,0.3,0.5,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,clin--adults-high,surv,0.25453502001417755,0.19211031391615432,594.606,0.1,0.15,0.6,0.3,0.84,0.1,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,clin--all-low,surv,0.25443767461780636,0.1843325387366943,596.096,0.1,0.15,0.6,0.3,0.84,0.1,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,clin--elderly-high,surv,0.2514498261072978,0.18955804866141818,596.75,0.1,0.15,0.6,0.3,0.84,0.1,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,test_clin--adults-high,surv,0.27897280240549016,0.12759846028401461,1398.322,0.1,0.15,0.6,0.3,0.84,0.4,0.1,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,test_clin--all-low,surv,0.2649843818828674,0.1296031192235128,1401.31,0.1,0.15,0.6,0.3,0.84,0.4,0.1,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,test_clin--elderly-high,surv,0.26055407884192905,0.12333896417927379,1402.826,0.1,0.15,0.6,0.3,0.84,0.4,0.1,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,test_nonclin--adults-high,surv,0.27330286284584343,0.09162449661770332,2377.064,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0,0.9,0.9,0.86,0.984,0.189,94500
children,test_nonclin--all-low,surv,0.2659668562183114,0.09241117091391782,2384.636,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0,0.9,0.9,0.86,0.984,0.189,94500
children,test_nonclin--elderly-high,surv,0.2710630524345949,0.09382566831539015,2381.644,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0,0.9,0.9,0.86,0.984,0.189,94500
children,spec_vac--adults-high,surv,0.07494122885397655,0.08328504273445589,2377.064,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.5,0.86,0.984,0.189,94500
children,spec_vac--all-low,surv,0.07429881650013986,0.08617151412503185,2384.636,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.5,0.86,0.984,0.189,94500
children,spec_vac--elderly-high,surv,0.07369288496418241,0.08233775675205708,2381.644,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.5,0.86,0.984,0.189,94500
children,spec_vac--all-med,surv,0.1384975051081074,0.09021655551629823,2380.436,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.75,0.86,0.984,0.189,94500
children,sens_flu--adults-high,surv,0.22620515250435314,0.1185270259189275,2377.064,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.5,0.984,0.189,94500
children,sens_flu--all-low,surv,0.2294498099689912,0.11706118399667251,2384.636,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.5,0.984,0.189,94500
children,sens_flu--elderly-high,surv,0.2273774282757924,0.12378490229346385,2381.644,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.5,0.984,0.189,94500
children,sens_flu--all-med,surv,0.24792784393220846,0.10262641532584793,2380.436,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.75,0.984,0.189,94500
children,spec_flu--adults-high,surv,0.22328350602650507,0.09441044204613334,2377.064,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.9,0.189,94500
children,spec_flu--all-low,surv,0.22032865663981005,0.0918574513483319,2384.636,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.9,0.189,94500
children,spec_flu--elderly-high,surv,0.21781215950461139,0.09305018221353865,2381.644,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.9,0.189,94500
children,spec_flu--all-med,surv,0.2373000033634924,0.0942004856024706,2380.436,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.95,0.189,94500
children,prop--adults-high,surv,0.2705453200395826,0.10352966658737262,1889.258,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.15,75000
children,prop--elderly-high,surv,0.2647003829497438,0.10313463427327199,1889.41,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.15,75000
children,pflu--all-high,surv,0.26006361398264655,0.09512580091162229,2381.18,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pflu--children-high,surv,0.26950900523389115,0.09265645062771131,2379.516,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pnonflu--all-high,surv,0.26006361398264655,0.09512580091162229,2381.18,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,pnonflu--children-high,surv,0.26950900523389115,0.09265645062771131,2379.516,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,sens_vac--adults-high,surv,0.2729929145143918,0.09409858272609019,2377.064,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,sens_vac--all-low,surv,0.2669389358418875,0.09112535665225197,2384.636,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,sens_vac--elderly-high,surv,0.2652073922046706,0.09793974068451397,2381.644,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,test_nonclin--all-med,surv,0.2592196391406616,0.09770424507250615,2380.436,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.189,94500
children,prop--all-high,surv,0.26620906173896663,0.07292970810973248,4196.01,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.33333333333333337,166667
children,prop--all-low,surv,0.2689331039425715,0.06692901176111579,4193.202,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.33333333333333337,166667
children,prop--all-med,surv,0.26584550168330573,0.07204491199883034,4203.514,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.33333333333333337,166667
children,prop--children-high,surv,0.27214122401063884,0.04897097439019103,8813.774,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,0.984,0.7,350000
children,spec_flu--all-high,surv,0.2746232509783778,0.09406871209215362,2381.18,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,1,0.189,94500
children,spec_flu--children-high,surv,0.28076034937026545,0.09289378359156297,2379.516,0.1,0.15,0.6,0.3,0.84,0.4,0.17,0.15,0.9,0.9,0.86,1,0.189,94500
