name,vary_name,type,ve_est_mean,ve_est_sd,n_study_mean,pflu,pnonflu,sympt,clin,test_clin,test_nonclin,sens_vac,spec_vac,sens_flu,spec_flu,prop,pvac,ve,nsam
special_no,ve-pvac,surv,0.7999269879989657,0.003555451837295615,281967.862,0.3,0.3,1,1,1,1,1,1,1,1,1,0.15000000000000002,0.8,500000
special_no,ve-pvac,surv,0.8999012930785384,0.002308482607582816,279761.768,0.3,0.3,1,1,1,1,1,1,1,1,1,0.15000000000000002,0.9,500000
special_no,ve-pvac,surv,0.10041837923847545,0.0082107305039882,296992.782,0.3,0.3,1,1,1,1,1,1,1,1,1,0.2,0.1,500000
special_no,ve-pvac,surv,0.1998757187959201,0.007699226420048363,294023.166,0.3,0.3,1,1,1,1,1,1,1,1,1,0.2,0.2,500000
special_no,ve-pvac,surv,0.3001957704826986,0.0066489183308253,291014.774,0.3,0.3,1,1,1,1,1,1,1,1,1,0.2,0.30000000000000004,500000
special_no,ve-pvac,surv,0.3998716352632544,0.006200348623927705,288019.598,0.3,0.3,1,1,1,1,1,1,1,1,1,0.2,0.4,500000
special_no,ve-pvac,surv,0.49968904612850207,0.005574962745782207,285017.39,0.3,0.3,1,1,1,1,1,1,1,1,1,0.2,0.5,500000
special_no,ve-pvac,surv,0.599982191497831,0.004375209292986232,281975.518,0.3,0.3,1,1,1,1,1,1,1,1,1,0.2,0.6,500000
special_no,ve-pvac,surv,0.6998491242549361,0.003929187055404998,279024.04,0.3,0.3,1,1,1,1,1,1,1,1,1,0.2,0.7000000000000001,500000
special_no,ve-pvac,surv,0.8000065690092859,0.0029819779267552006,276028.264,0.3,0.3,1,1,1,1,1,1,1,1,1,0.2,0.8,500000
special_no,ve-pvac,surv,0.9000477683923798,0.0019474937153693196,272992.672,0.3,0.3,1,1,1,1,1,1,1,1,1,0.2,0.9,500000
special_no,ve-pvac,surv,0.10007138924799437,0.0077309490067801806,296269.806,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.1,500000
special_no,ve-pvac,surv,0.1995816901848373,0.007136587021538853,292502.866,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.2,500000
special_no,ve-pvac,surv,0.300393557579253,0.006347512994141805,288745.538,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.30000000000000004,500000
special_no,ve-pvac,surv,0.399931258666913,0.005248714978433878,284993.28,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.4,500000
special_no,ve-pvac,surv,0.4999699346158035,0.004985983238752425,281240.586,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.5,500000
special_no,ve-pvac,surv,0.5997641753038798,0.0040565473745954065,277487.348,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.6,500000
special_no,ve-pvac,surv,0.6999599877661268,0.0035191493184665904,273740.698,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.7000000000000001,500000
special_no,ve-pvac,surv,0.7999854238119553,0.002711714084759888,270021.962,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.8,500000
special_no,ve-pvac,surv,0.899939724416823,0.0017358149639107303,266242.154,0.3,0.3,1,1,1,1,1,1,1,1,1,0.25,0.9,500000
special_no,ve-pvac,surv,0.09958367104552347,0.007325778694642807,295504.258,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.1,500000
special_no,ve-pvac,surv,0.20069296909739054,0.006692601159340277,291008.926,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.2,500000
special_no,ve-pvac,surv,0.3002891195028909,0.005880527742882654,286504.168,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.30000000000000004,500000
special_no,ve-pvac,surv,0.3999936078657973,0.005120311223927634,281975.176,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.4,500000
special_no,ve-pvac,surv,0.5001403422450672,0.004652681460657823,277516.724,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.5,500000
special_no,ve-pvac,surv,0.6000633378309471,0.003969445411856558,273000.686,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.6,500000
special_no,ve-pvac,surv,0.7000729557605256,0.003000999325023771,268503.376,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.7000000000000001,500000
special_no,ve-pvac,surv,0.7999702381945747,0.002488598368563443,263964.824,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.8,500000
special_no,ve-pvac,surv,0.9000191363272241,0.0016759500346347177,259480.398,0.3,0.3,1,1,1,1,1,1,1,1,1,0.3,0.9,500000
special_no,ve-pvac,surv,0.09986896153362566,0.006802572475384209,294764.904,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.1,500000
special_no,ve-pvac,surv,0.1999929357783844,0.006378990654622484,289511.314,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.2,500000
special_no,ve-pvac,surv,0.3000492358680816,0.005701997522407435,284235.678,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.30000000000000004,500000
special_no,ve-pvac,surv,0.40036255920322944,0.004956588893003669,279003.09,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.4,500000
special_no,ve-pvac,surv,0.4999358048978249,0.004350844053012167,273761.588,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.5,500000
special_no,ve-pvac,surv,0.5998337984759016,0.0036275895908011615,268493.448,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.6,500000
special_no,ve-pvac,surv,0.6998393183575139,0.003096641930579445,263238.262,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.7000000000000001,500000
special_no,ve-pvac,surv,0.8000916945353201,0.0024365372412678524,257998.466,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.8,500000
special_no,ve-pvac,surv,0.8999280480513985,0.0014305617465937036,252752.324,0.3,0.3,1,1,1,1,1,1,1,1,1,0.35000000000000003,0.9,500000
special_no,ve-pvac,surv,0.09997806432226848,0.006604667171739277,294011.12,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.1,500000
special_no,ve-pvac,surv,0.20018847471870035,0.005731423586393358,288019.864,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.2,500000
special_no,ve-pvac,surv,0.300014434181592,0.005298680357232994,281974.592,0.3,0.3,1,1,1,1,1,1,1,1,1,0.4,0.30000000000000004,500000
