name,vary_name,type,ve_est_mean,ve_est_sd,n_study_mean,pflu,ve,pnonflu,sympt,clin,test_clin,test_nonclin,sens_vac,spec_vac,sens_flu,spec_flu,prop,pvac,nsam
adults,pnonflu,admin,0.27115948277947427,0.0153586222198503,104398.208,0.08,0.5,0.28,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,admin,0.269845418256341,0.01623503826432689,106073.826,0.08,0.5,0.3,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,admin,0.329673214710854,0.01511496874692482,93310.134,0.08,0.6,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,admin,0.38459215712628575,0.013761159653586822,93141.738,0.08,0.7000000000000001,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,admin,0.44068047537178906,0.013160120510423732,93002.24,0.08,0.8,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,admin,0.4939612595319106,0.012672768705320615,92815.87,0.08,0.9,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pflu,admin,0.2816817824792926,0.015492915485727116,94228.07,0.09,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pflu,admin,0.28419719358090473,0.013633283584081089,94945.22,0.1,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pflu,admin,0.2883696276213215,0.013518042292592132,95681.786,0.11,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pflu,admin,0.29083335866840254,0.013259073049867906,96422.872,0.12000000000000001,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pflu,admin,0.29462264403250626,0.012106446306327142,97166.21,0.13,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pflu,admin,0.2964893992556234,0.01226677995749994,97884.774,0.14,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pflu,admin,0.2997641251612361,0.01205008091716845,98622.612,0.15,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pflu,surv,0.2737453872008613,0.02303496537972258,28475.238,0.05,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pflu,surv,0.2739707729097384,0.020431959454267824,29759.498,0.060000000000000005,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pflu,surv,0.2760459305072248,0.01935098377971068,31048.16,0.07,0.5,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,surv,0.053004859147760514,0.021348532287938447,33501.562,0.08,0.1,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,surv,0.1083298295263282,0.022110893898865017,33231.992,0.08,0.2,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,surv,0.16236140952007322,0.02278966235697544,32935.748,0.08,0.30000000000000004,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,ve,surv,0.21844105094260133,0.020117687907329155,32628.262,0.08,0.4,0.15,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,surv,0.2694555048428428,0.0192529672480771,24980.578,0.08,0.5,0.1,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,surv,0.27248421775291465,0.019732019037419973,27923.856,0.08,0.5,0.12000000000000001,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
adults,pnonflu,surv,0.27402999884650614,0.019036795770564094,30877.526,0.08,0.5,0.14,0.84,1,0.35,0.15,0.95,0.8,0.86,0.984,1,0.25,500000
